title,image_url,about,summary,wikipedia_url,no_of_reviews,review
Mombasa Island,https://t1.gstatic.com/images?q=tbn:ANd9GcS1F3mtcTTdz733IVWBeUB09kUHYL7dWRqUm_jDR1Z3rcdcIPn8rfIe5kROzgqR8DZEilPB6o3mVILM84WNNEA2Qw,"Beaches & a quaint, historic town","Mombasa Island is a 5 by 3 km (3.1 by 1.9 mi) coral outcrop located on Kenya's coast on the Indian Ocean, which is connected to the mainland by a causeway. Part of the city of Mombasa is located on the island, including the Old Town.",https://en.wikipedia.org/wiki/Mombasa_Island,181,4.4
Dunga Beach,https://lh5.googleusercontent.com/p/AF1QipM78JFHt-vFor6xkkcTkHJ47lGwk28C_Hhp4N_Z=w464-h260-n-k-no,Beach and lake,"Kisumu is the third-largest city in Kenya (after Nairobi and Mombasa) and the second-largest city (after Kampala, Uganda) in the Lake Victoria Basin. The city is the headquarters of the Lake Region Economic Bloc, which is a conglomeration of 14 counties  in Western Kenya. In 2006, the UN-Habitat designated Kisumu City as the first UN ""Millennium City"" in the world. It is the largest and principal city of Western Kenya, and the most important inland port in the Lake Victoria circuit. Kisumu is not far from K'Ogelo, a village known for being the hometown of Barack Obama Sr., the father to the 44th president of the United States.

Kisumu serves as the capital city of Kisumu County, Kenya and has a population of 721,082 as per the Kenyan 2019 census. (The rural population of Kisumu County was 714,668 during the same census, indicating that the city comprises majority of the urban residents in the county, whose total population was 1,155,574.) Kisumu is the immediate former capital of Nyanza Province, the headquarters of Kisumu County an important link in the trade route between Lake Victoria and Mombasa because of its water and rail connections. It is also the chief terminus for the agricultural produce of Nyanza and Western provinces. It is the largest and most important city in the Western Kenya. Kisumu serves as a trading and transportation hub for the Great Lakes region in western Kenya. Kisumu International Airport has regular flights to Nairobi and other neighboring cities such as Mombasa, Mwanza, and Kigali. It is the second-most important city after Kampala in the greater Lake Victoria Basin and, according to the United Nations, is now recognized as a key city and a ""Millennium City"" – the first of its kind in the world and also in East Africa.It is officially known as Kisumu City (and formerly Port Florence). Kisumu port was founded in 1901 as the main inland terminal of the Uganda Railway named ""Port Florence"". Although trade stagnated in the 1980s and 1990s, it is again growing around oil exports.The name Kisumu literally means a place of barter trade ""sumo"". The city has ""Friendship"" status with Cheltenham, United Kingdom and ""sister city"" status with Roanoke, Virginia and Boulder, Colorado, United States. Its elevation is 1,131 m (3,711 ft) above sea level. Kisumu is about 320 km (200 mi) northwest of Nairobi and its located at the shores of Lake Victoria. It lies at the northeastern edge of the Winam Gulf, a long, shallow arm that protrudes from the main body of Lake Victoria. Kisumu is set 24 km (15 mi) south of the Equator and has moderate temperatures because of its 1130 m elevation. Just four hours away by car is the massive Kenya National Game Preserve: the Maasai Mara, a world-renowned safari attraction. Since Kisumu is a few kilometers south of the Equator, daytime there always lasts about 12 hours, and local sunset always occurs between 18:40 and 19:00 local time. The metropolitan region comprises the city and its suburbs and satellite towns of Maseno, Kondele, and Ahero.",https://en.wikipedia.org/wiki/Kisumu,"1,275",4.0
Mayungu Public Beach,https://lh5.googleusercontent.com/p/AF1QipPK7N9bV8KhQLiMVjSgKtvwDIGOnCJ_O4rZVYZf=w464-h260-n-k-no,Beach,,,59,4.4
Chale Beach,https://t1.gstatic.com/images?q=tbn:ANd9GcQFYVw0NjnlI557rGAaVNhlJZZFT5Pw7RiMMsv2oO-MWPiYu7nhsxgbF3XWfKYR4-FZ0Zf_ZtbeISMMLQ,Beach,"Chale Bay is a bay on the south-west coast of the Isle of Wight, England. It lies to the west of the village of Chale from which it takes its name. It faces south-west towards the English Channel, its shoreline is 3 1⁄4 miles (5.2 km) in length and is gently curving. It stretches from Artherfield Point in the north-west to Rocken End in the south-east. 
The bay is best viewed from the car park on the A3055 above Blackgang Chine or anywhere along the Isle of Wight Coastal Path which follows the whole coastline along the clifftop. Since the closure of the steps at Whale Chine, the beach at Chale Bay has become somewhat inaccessible, with no way down from the clifftop anywhere along its three miles. Parts of the beach are sometimes used by naturists, who are known locally as ""Blackgang Bares"".",https://en.wikipedia.org/wiki/Chale_Bay,4,4.8
Gazi Beach,https://t0.gstatic.com/images?q=tbn:ANd9GcTbeTijqpRtmQL432UPH0BE15hR3p7giUkhhTIT6rm3JAdr5Rb-3AONfHiYNMVBL_Yu8pdY-UE6uw5acw,Beach,,,2,4.5
Uhanya,https://lh5.googleusercontent.com/p/AF1QipNIfsNYifX_-xo1b3Rv7u47vt2CJgJYEPHi7K_i=w464-h260-n-k-no,Beach,,,33,4.0
Malindi marine boat excursions,https://t1.gstatic.com/images?q=tbn:ANd9GcQPwTsuaypxOVQoZCE4pJw1nmVwvVyO2HlT0HJMCrTSrjOqSMJqwPuLSoQQlV9dW02UOXSMbrFrFpKQ9IEEFl2-6w,Marine preserve with coral reefs & boats,,,625,4.4
Jacaranda Bay,https://lh5.googleusercontent.com/p/AF1QipPOSk4N9KKVkmuTCim9_hTHVZz4a7XAiL0id0xV=w464-h260-n-k-no,Beach,"Jacaranda mimosifolia is a sub-tropical tree native to south-central South America that has been widely planted elsewhere because of its attractive and long-lasting violet-colored flowers.  It is also known as the jacaranda, blue jacaranda, black poui, or fern tree. Older sources call it J. acutifolia, but it is nowadays more usually classified as J. mimosifolia. In scientific usage, the name ""jacaranda"" refers to the genus Jacaranda, which has many other members, but in horticultural and everyday usage, it nearly always means the blue jacaranda.
In its native range in the wild, J. mimosifolia is listed as Vulnerable by the IUCN.",https://en.wikipedia.org/wiki/Jacaranda_mimosifolia,16,4.4
Osiri Beach Resort,https://lh5.googleusercontent.com/p/AF1QipOqxIXRnJkJH8dGJ6HTvJ7pHZGjMWNmdIBawgfu=w464-h260-n-k-no,Beach,"Saint Lucia (UK:  (listen), US:  (listen); French: Sainte-Lucie) is an island country in the West Indies in the eastern Caribbean Sea on the boundary with the Atlantic Ocean. The island was previously called Iyonola, the name given to the island by the native Arawaks and later, Hewanorra, the name given by the native Caribs, two separate Amerindian peoples. Part of the Lesser Antilles, it is located north/northeast of the island of Saint Vincent, northwest of Barbados and south of Martinique. It covers a land area of 617 km2 (238 square miles) and reported a population of 165,595 in the 2010 census. Its capital is Castries.
The French were the first Europeans to settle on the island. They signed a treaty with the native Island Caribs in 1660. England took control of the island from 1663 to 1667. In ensuing years, it was at war with France fourteen times, and the rule of the island changed frequently (it was ruled seven times each by the French and British). In 1814, the British took definitive control of the island. Because it switched so often between British and French control, Saint Lucia was also known as the ""Helen of the West Indies"" after the Greek mythological character, Helen of Troy.
Representative government came about in 1840 (universal suffrage was established in 1953). From 1958 to 1962, the island was a member of the West Indies Federation. On 22 February 1979, Saint Lucia became an independent state and a member of the Commonwealth of Nations. Saint Lucia is a mixed jurisdiction, meaning that it has a legal system based in part on both the civil law and English common law. The Civil Code of St. Lucia of 1867 was based on the Quebec Civil Code of 1866, as supplemented by English common law-style legislation. It is also a member of Organisation internationale de la Francophonie.",https://en.wikipedia.org/wiki/Saint_Lucia,43,4.3
Shelly Beach,https://lh5.googleusercontent.com/p/AF1QipMsb6RYatSOT-DUHoh16-u4lHEcFJVdhiZOY7G6=w464-h260-n-k-no,Beach,,,200,4.2
Ndere Island,https://t3.gstatic.com/images?q=tbn:ANd9GcTD7TU0IpCSypjNXNH_JMmzJyjx6heXNByMFJCYNWyufe77MFaB4nnVFVWxDD1Y9K_wN82etmdk5sc3IA,Park,"Ndere Island is a small island (4.2 km2 or 1.6 sq mi) in Winam Gulf of Lake Victoria in Kenya. It was gazetted as the Ndere Island National Reserve in November 1986 and has since that time been uninhabited.
Ndere means ""meeting place"" in Dholuo. According to Luo folklore, early tribal migrants rested up near Ndere after their long journey south up the Nile River Valley. They found the lush shoreline so pleasing that they stayed.
Notable fauna associated with the island include African fish eagles, swifts, hippopotamus, and Nile crocodiles. About fifty impalas have been introduced to the island.

",https://en.wikipedia.org/wiki/Ndere_Island,11,4.0
Golden Sand Resort,https://lh5.googleusercontent.com/p/AF1QipNYKRlHpi5vRuVrHtXQl1dOleYt94cdbwd93xs=w464-h260-n-k-no,Beach,"Golden Sands (Bulgarian: Златни пясъци, Zlatni pyasatsi [ˈzɫatni ˈpʲasɐt͡si]) is a major seaside resort town on the northern Bulgarian Black Sea Coast, adjacent to a national park of the same name in the municipality of Varna.
Located 17 km north of downtown Varna, it is virtually connected to the city by a continuous swath of resorts and villa communities. It is a popular tourist destination, drawing many visitors from Romania, Ukraine, Poland, Germany, the United Kingdom, Russia, Scandinavia, France, Central and Eastern Europe, the Persian Gulf, Israel, and other countries.

",https://en.wikipedia.org/wiki/Golden_Sands,50,4.2
Campers Haven Beach Resort,https://lh5.googleusercontent.com/p/AF1QipMYowanceGE5S6kE6nEE_RL-I_13Br6O9MHcOIU=w464-h260-n-k-no,Beach,"Butlin's is a chain of large seaside resorts in the United Kingdom. Butlin's was founded by Billy Butlin to provide affordable holidays for ordinary British families.
Between 1936 and 1966, ten camps were built, including one in Ireland and one in the Bahamas. In the 1970s and 1980s, Butlin's also operated numerous large hotels, including one in Spain, a number of smaller holiday parks in England and France, and a revolving restaurant in the Post Office Tower in London.Tough competition from overseas package holiday operators, rising operational costs, and rapidly changing demand, forced many of the Butlin's operations to close in the 1980s and 1990s. Three of the original camps remain open under the Butlins brand in Bognor Regis, Minehead, and Skegness. They are now owned and run by Butlins Skyline Ltd, a subsidiary company of Bourne Leisure Ltd, which also operates other leisure brands in the British Isles, including Warner Leisure Hotels and Haven Holidays.
Butlin's runs a variety of ""family fun activities"" and entertainments, many of which are included in the price of a holiday. Redcoats (Butlins frontline staff) provide entertainment, organise activities, and act as hosts.",https://en.wikipedia.org/wiki/Butlins,5,4.0
White Stone Beach Resort,https://lh5.googleusercontent.com/p/AF1QipNMRzQcJKKZotOtNznAl-3e3T35Un43AixX1pTx=w464-h260-n-k-no,Beach,"Ko Olina Resort is a 642-acre (2.60 km2) master-planned vacation and residential community on the leeward coast of Oahu, 17 miles (27 km) west of Honolulu. Ko Olina has 2 miles (3.2 km) of coastal frontage and includes three natural and four man-made lagoons with white-sand beaches. The master-planned resort community, owned by Honolulu-based The Resort Group, is home to four hotel and vacation-club resorts: Aulani, a Disney Resort & Spa, Marriott's Ko Olina Beach Club, the Beach Villas at Ko Olina and The Four Seasons Resort O'ahu at Ko Olina, and villa homes. Previously, the JW Marriott at Ko Olina occupied The Four Seasons property. An Atlantis Resort, similar to Atlantis Dubai, is currently being designed as an international destination for millennial travelers. The property is planned to be adjacent to the condominiums located on the Honu lagoon. 
Major events hosted at Ko Olina Resort include the LPGA Lotte Championship, the Ko Olina Children's Film & Music Festival and the Hawaii Food & Wine Festival.Under The Resort Group's ownership, Ko Olina has created a $10B master-planned waterfront community, created over 5,000 jobs and generates approximately $2.5B in economic impacts for the State of Hawaii annually.",https://en.wikipedia.org/wiki/Ko_Olina_Resort,144,4.1
Blue Bay IGV,https://lh5.googleusercontent.com/p/AF1QipMm6CyuCmKYOBJIWm6dTedBukrQ_PaF6_5K4BtP=w464-h260-n-k-no,Beach,"The Sukhoi Su-57 (Russian: Сухой Су-57; NATO reporting name: Felon) is a stealth, single-seat, twin-engine multirole fifth-generation jet fighter being developed since 2002 for air superiority and attack operations. The aircraft is the product of the PAK FA (Russian: ПАК ФА, short for: Перспективный авиационный комплекс фронтовой авиации, romanized: Perspektivny Aviatsionny Kompleks Frontovoy Aviatsii, lit. ''prospective aeronautical complex of front-line air forces''), a fifth-generation fighter programme of the Russian Air Force. Sukhoi's internal name for the aircraft is T-50.  The Su-57 is the first aircraft in Russian military service to use stealth technology. Its maiden flight took place on 29 January 2010 and it entered service on 25 December 2020. The fighter is the world's fourth operational fifth-generation stealth fighter aircraft after the F-22, F-35, and J-20.
According to Sukhoi Company, the fighter is designed to have supercruise, supermaneuverability, stealth, and advanced avionics to overcome the previous generation fighter aircraft as well as ground and naval defences. The Su-57 is intended to succeed the MiG-29 and Su-27 in the Russian Air Force.The prototypes and initial production batch are to be delivered with a highly upgraded Lyulka AL-31 variant, the AL-41F1, as an interim powerplant, while an advanced clean-sheet design engine, currently designated the Izdeliye 30, is in final stages of development, expected to be available after mid-2020s. The aircraft is expected to have a service life of up to 35 years.",https://en.wikipedia.org/wiki/Sukhoi_Su-57,15,4.6
Maboko Island,https://t0.gstatic.com/images?q=tbn:ANd9GcRNsrJC4a-D4cBgpQywZLxdxd5WHFns2bbul9gyMddA0jHGZYmHos1K3Vha3ftVhf14b5yZAwBq92Kl5Q,,"Maboko Island is a small island lying in the Winam Gulf of Lake Victoria, in Nyanza Province of western Kenya.  It is about 1.8 km long by 1 km wide.  It is an important Middle Miocene paleontological site with fossiliferous deposits that were discovered in the 1930s.  The age of the deposits is estimated to be 15 to 16 million years, and they are especially important for the abundance of primate fossils they contain.",https://en.wikipedia.org/wiki/Maboko_Island,3,4.0
Central Island,https://t1.gstatic.com/images?q=tbn:ANd9GcQvGYKnVrRTeuBU1Nsk4PGZRtYVHA43FMUtNxQRiBSM068iCzL9iqdloVSool7sgLY0zvUvCmK-lkeolA86B-GS8g,Lake and crocodiles,"Central Island, also known as Crocodile Island, is a volcanic island located in the middle of Lake Turkana in Kenya. It is also the location of Central Island National Park, which is governed by the Kenya Wildlife Service.It is composed of more than a dozen craters and cones, three of which are filled by small lakes. The two largest lakes partially fill craters up to a kilometre wide and about 80 m deep, the floors of which are near sea level. The highest point on the dominantly basaltic island reaches 550 m, about 190 m above the lake surface. An E-W-trending chain of small explosion craters cuts the eastern side of the 3-km-wide island. Several small islands to the SE represent partially submerged crater rims, and other cones and lava plugs lie beneath the lake surface near the island.
The youngest Central Islands tuffs and lavas may be as young as Holocene (Karson and Curtis, 1992). Fumarolic activity is concentrated along the NE-to-SE rim of the central crater, and sprays of sulfur from the fumaroles were observed by visitors in the 1930s. In 1974 intense emission of molten sulfur and steam clouds were seen from the mainland.

",https://en.wikipedia.org/wiki/Central_Island,10,4.5
Usingo Island,https://t2.gstatic.com/images?q=tbn:ANd9GcR2FAp_iWh6To2M7IQEn7x3efGD5qetlPZdpQHlfzRat1MlUh6pYaS0cL2BpBzvXzCz56aU4p60lsMpLA,,"Usingo Island (Kisiwa cha Usingo) is the name given to a small lake island in Kenya, which is located in Migori County, in Lake Victoria.",https://en.wikipedia.org/wiki/Usingo_Island,7,4.0
Diplomat Diani Beach Resort,https://lh5.googleusercontent.com/p/AF1QipOjnQ95i3fYqfC0_ikh2P2lLA89vIXgKXz3AQZu=w464-h260-n-k-no,,,,114,3.8
Casuarina Beach,https://t2.gstatic.com/images?q=tbn:ANd9GcQtaI6CxqBUoLKu5b87aIuf8bHfUZNzHmVhvZND5uGSP9e7sIoqYfATG9ntBh0wt8Qwcz6URcJN88Cftg,White sandy beach in vacation area,"Casuarina Beach is in Karainagar, Jaffna District, Sri Lanka, about 20 kilometers from Jaffna. The Casuarina Beach in Karainagar is also called and written as Casoorina, Cashoorina and few other variants. This is considered to be the best beach in the Jaffna Peninsula with white sand. 
The beach got its name due to the Casuarina Trees along the beach. The beach lies about 20 km off Jaffna and may take about 45 minutes to travel by a vehicle.",https://en.wikipedia.org/wiki/Casuarina_Beach,39,4.2
Marenga Beach,https://t1.gstatic.com/images?q=tbn:ANd9GcSBjUolpnvPPtTpgfkDXfOgvifgRAt_jBG8RkfivOmR2vQBqPgF7uD7CKWgOuEJfqmTF8BzvPljx0mrKQ,Beach,"Málaga (, Spanish: [ˈmalaɣa]) is a municipality of Spain, capital of the Province of Málaga, in the autonomous community of Andalusia. With a population of 571,026 in 2018, it is the second-most populous city in Andalusia after Seville and the sixth most populous in Spain. It lies on the Costa del Sol (Coast of the Sun) of the Mediterranean, about 100 kilometres (62.14 miles) east of the Strait of Gibraltar and about 130 km (80.78 mi) north of Africa.
Málaga's history spans about 2,800 years, making it one of the oldest cities in Europe and one of the oldest continuously inhabited cities in the world. According to most scholars, it was founded about 770 BC by the Phoenicians as Malaka (Punic: 𐤌𐤋𐤊𐤀, MLKʾ). From the 6th century BC the city was under the hegemony of Ancient Carthage, and from 218 BC, it was ruled by the Roman Republic and then empire as Malaca (Latin). After the fall of the empire and the end of Visigothic rule, it was under Islamic rule as Mālaqah (Arabic: مالقة‎) for 800 years, but in 1487, the Crown of Castille gained control in the midst of the Granada War. The archaeological remains and monuments from the Phoenician, Roman, Arabic and Christian eras make the historic center of the city an ""open museum"", displaying its history of nearly 3,000 years.
The painter and sculptor Pablo Picasso, Hebrew poet and Jewish philosopher Solomon Ibn Gabirol and the actor Antonio Banderas were born in Málaga. The magnum opus of Cuban composer Ernesto Lecuona, ""Malagueña"", is named after the music of this region of Spain.
The most important business sectors in Málaga are tourism, construction and technology services, but other sectors such as transportation and logistics are beginning to expand. The Andalusia Technology Park (PTA), located in Málaga, has enjoyed significant growth since its inauguration in 1992. Málaga is home of the region's largest bank, Unicaja, and it is the fourth-ranking city in economic activity in Spain behind Madrid, Barcelona and Valencia, which ranks first in Andalusia.",https://en.wikipedia.org/wiki/M%C3%A1laga,82,3.8
Nteere Recreation Park,https://lh5.googleusercontent.com/p/AF1QipMkWVq6mafudMAC7Nw980fnSyAjLnoTcpj-ItYO=w464-h260-n-k-no,Park,,,7,4.6
