title,image_url,about,summary,wikipedia_url,no_of_reviews,review
Diani Beach,https://t3.gstatic.com/images?q=tbn:ANd9GcQrCxEt66eoUidLquf9C0spMqpLJEh7FXL2pYOniNnGFb-5HDZGDjVmO92P5l-8vYIVyj2R13ZSFbo-sQawRuGBrQ,White-sand beach in a tropical locale,"Diani Beach is a major beach on the Indian Ocean coast of Kenya (in eastern Africa). It is located 30 kilometres (19 mi) south of Mombasa, in Kwale County.
It has been voted Africa's leading beach destination for the fifth time running since 2015.",https://en.wikipedia.org/wiki/Diani_Beach,638,4.6
Ol Pejeta Conservancy,https://t3.gstatic.com/images?q=tbn:ANd9GcTJU6vkLRbZc51OLm5lhM6QRe-52zSv-zEWIve5A98T5aAy2tBTmIqH8ROos3kvIR5uysbTzYspVr-aQHVbdZneiw,Animal preserve with game drives,"The Ol Pejeta Conservancy is a 360 km2 (140 sq mi) not-for-profit wildlife conservancy in Central Kenya's Laikipia County. Situated on the equator west of Nanyuki, between the foothills of the Aberdares and Mount Kenya. The Ol Pejeta Conservancy works to conserve wildlife, provide a sanctuary for great apes and to generate income through wildlife tourism and complementary enterprises for re-investment in conservation and community development.
The Conservancy boasts the largest black rhino sanctuary in East Africa, and in 2013 reached a population milestone of 100 black rhino. It also houses the two remaining northern white rhino in the world, who were moved there from Dvůr Králové Zoo in the Czech Republic. The Sweetwaters Chimpanzee Sanctuary is situated here, and provides a haven for orphaned, abandoned and rescued chimpanzees. It is the only place in Kenya where these great apes can be seen. The Conservancy is host to the ""Big five game"" among a large selection of other African animals, which makes it a popular safari destination. It also operates a successful livestock program, which serves to benefit local pastoralists and wildlife. Through the conservancy's community development programme, Ol Pejeta provides funding to surrounding communities to aid health, education, water and infrastructure projects. They also support the provision of agriculture and livestock extension services and the development of community-based conservation tourism ventures.

",https://en.wikipedia.org/wiki/Ol_Pejeta_Conservancy,"1,099",4.6
Lake Nakuru National Park,https://t1.gstatic.com/images?q=tbn:ANd9GcQ3nIewKGVo-Ap1mamjIkPg88BQ_HSPyhyxpZYhR7c4GAbX9j0OTQCCb6sCEtC32HW3IX2MlNDrrZNEd6IMS8v89g,National park with soda lake & wildlife,"Lake Nakuru is one of the Rift Valley soda lakes at an elevation of 1,754 m (5,755 ft) above sea level. It lies to the south of Nakuru, in the rift valley of Kenya and is protected by  Lake Nakuru National Park.
The lake's abundance of algae used to attract a vast quantity of flamingos that famously lined the shore. Other birds also flourish in the area, as do warthogs, baboons and other large mammals. Eastern black rhinos and southern white rhinos have also been introduced.
The lake's level dropped dramatically in the early 1990s but has since largely recovered. In 2013, the lake received an alarming increase in the water levels that led to the migration of flamingos to Lake Bogoria in search for food supply.Nakuru means ""Dust or Dusty Place"" in the Maasai language. Lake Nakuru National Park, close to Nakuru town, was established in 1961. It started off small, only encompassing the famous lake and the surrounding mountainous vicinity, but has since been extended to include a large part of the savannahs.
Lake Nakuru is protected under the Ramsar Convention on wetlands.",https://en.wikipedia.org/wiki/Lake_Nakuru,"3,853",4.4
Mara Triangle,https://lh5.googleusercontent.com/p/AF1QipMx5MrzHxdzHmaBNIGf4yFF77Z2zAduoc6TfdXS=w464-h260-n-k-no,Remote safari area in Maasai Mara,"The Mara Triangle is the southwestern part of the Maasai Mara National Reserve, Kenya, and is managed by the not-for-profit organisation The Mara Conservancy on behalf of Trans-Mara County Council.
Divided from the rest of the Maasai Mara National Reserve by the Mara River, the Mara Triangle is less visited and less crowded, with a high concentration of game all year-round including the Big Five (lion, leopard, elephant, buffalo and rhino) and diverse plains game such as cheetah, hyena, jackal, wildebeest, zebra, giraffe, waterbuck and many other species.
The Mara Triangle is the area where the herds of the Great Migration enter and exit the Maasai Mara National Reserve from the Serengenti National Park in Tanzania, making it a prime viewing spot for this wildlife spectacle. Crossings of the Mara River are world-renown for being particularly dramatic, featuring in many wildlife documentaries such as Wild Africa and Big Cat Diary.",https://en.wikipedia.org/wiki/Mara_Triangle,"1,745",4.7
Lewa Wildlife Conservancy,https://t2.gstatic.com/images?q=tbn:ANd9GcSMow8lXKtNzABCkUcO9_NaVWy6iftgN6v6CIfdSpgKnAI4e36H_nEPR18jsNwWjiR8fUrBuGLUPCtF41GgAqDktg,Conservation area with protected species,"The Lewa Wildlife Conservancy (also known as Lewa Downs) is located in northern Kenya. It was formed in 1995. It is a wildlife sanctuary incorporating the Ngare Ndare Forest and covering over 62,000 acres (250 km2). The Conservancy is home to a wide variety of wildlife including the rare and endangered black rhinos, Grevy's zebras and sitatungas. It also includes the big five (lion, leopards, elephants, rhinos and Cape buffaloes). Lewa holds over 12% of Kenya's eastern black rhinoceros population and the largest single population of Grevy's zebras in the world (approximately 350 individuals).
The Conservancy is also home to the Northern Rangelands Trust, an innovative partnership with a number of communities to the north who have given land for the preservation of wildlife. Lewa has its own education program that helps develop schools and students. Lewa Wildlife Conservancy is located in Meru County, south of Isiolo town but north of Mount Kenya.",https://en.wikipedia.org/wiki/Lewa_Wildlife_Conservancy,766,4.5
Fort Jesus,https://t1.gstatic.com/images?q=tbn:ANd9GcTeCoGtPiXSCArqA4-gri8Xnpk3ZALpverFunKgJneeaGHOGM7gKLoBbxgpOw2phj5C7jhs0tvYz4hnl_1R1eXwJg,Archeology museum in 16th-century fort,"Fort Jesus (Portuguese: Forte Jesus de Mombaça) is a fort located on Mombasa Island. Designed by Italian Giovanni Battista Cairati, it was built between 1593 and 1596, by order of King Philip I of Portugal, to guard the Old Port of Mombasa. Fort Jesus was the only fort maintained by the Portuguese on the Swahili coast, and is recognised as a testament to the first successful attempt by a Western power to establish influence over the Indian Ocean trade.Cairato, the designer of the fort, was inspired by Italian architect Pietro Cataneo, while the master builder was Gaspar Rodrigues. The fort was Cairato's last overseas work. Although the design of Fort Jesus is an example of Renaissance architecture, the masonry techniques, building materials and labour are believed to have been provided by the local Swahili people. The fort was built in the shape of a man (viewed from the air) and is roughly square, with four bulwarks at its corners. The fort is considered a masterpiece of late Renaissance military fortification.
Fort Jesus was captured and recaptured at least nine times between 1631, when the Portuguese lost it to the Sultan Yusuf ibn al-Hasan of Mombasa, and 1895 when it fell under British rule and was converted into a prison. After the Portuguese recaptured it from the Sultan in 1632, they refurbished it and built more fortifications, subsequently making it harder for the fort to fall. The fort was subject to an epic two-year siege from 1696-98 by the Omani Arabs, led by Saif bin Sultan. The capture of the fort marked the end of Portuguese presence on the coast, although they briefly captured and re-occupied it between 1728 and 1729 with the help of the Swahili city-states. The fort fell under local rule from 1741 to 1837, when it was again captured by the Omanis and used as a barracks, before its occupation by the British in 1895, after the declaration of the Protectorate of Kenya.
Fort Jesus was declared a national park in 1958, and in 2011, it was declared a World Heritage Site by UNESCO and highlighted as one of the most outstanding and well-preserved examples of 16th-century Portuguese military fortifications. The fort is Mombasa's most visited tourist attraction.",https://en.wikipedia.org/wiki/Fort_Jesus,"5,437",4.4
Mount Longonot,https://t0.gstatic.com/images?q=tbn:ANd9GcS6RYjR-unKx-WJOrdyZispJNsIOoqxRZJ8bkfJL8S33HTb0ItP95JPXQpneszs3M6lF7Rv9Cu-AmtRlzcAoOZdPQ,Inactive volcano with a summit hike,"Mount Longonot is a stratovolcano located southeast of Lake Naivasha in the Great Rift Valley of Kenya, Africa. It is thought to have last erupted in the 1860s. Its name is derived from the Maasai word Oloonong'ot, meaning ""mountains of many spurs"" or ""steep ridges"".
Mount Longonot is protected by Kenya Wildlife Service as part of Mount Longonot National Park. A 3.1 km trail runs from the park entrance up to the crater rim, and continues in a 7.2 km loop encircling the crater. The whole tour (gate-around the rim-gate) of 13.5 km takes about 4–5 hours allowing for necessary rest breaks - parts of the trail are heavily eroded and very steep. The gate elevation is around 2150 m and the peak at 2780 m  but following the jagged rim involves substantially more than the 630 m vertical difference.",https://en.wikipedia.org/wiki/Mount_Longonot,231,4.5
Lake Elmenteita,https://t3.gstatic.com/images?q=tbn:ANd9GcTXVIydrJ6wu8szc-HMwKnwrJtNFl5tDpVlMvP1BvjvNC6KoDQF6iNWUdzwuCMk6FySg-LKJKYFqtzp4kiS2lMhSA,"Large lake with wildlife, trails & views","Lake Elmenteita' is a soda lake, in the Great Rift Valley, about 120 km northwest of Nairobi, Kenya.",https://en.wikipedia.org/wiki/Lake_Elmenteita,76,4.4
Ngong Hills,https://t0.gstatic.com/images?q=tbn:ANd9GcR5XkPt1ZKVhLJ6JX0ApslV0xsil02O36ceO7v3WzrWgeHfsyH0F3Um6GKuoFYDzjGEXiuc6tbTaFKM_hMbmC2dsA,Natural area known for hiking & views,"The Ngong Hills are peaks in a ridge along the Great Rift Valley, located southwest near Nairobi, in southern Kenya. The word ""Ngong"" is an Anglicization of a Maasai phrase ""enkong'u emuny"" meaning rhinoceros spring, and this name derives from a spring located near Ngong Town.The Ngong Hills, from the eastside slopes, overlook the Nairobi National Park and, off to the north, the city of Nairobi.  The Ngong Hills, from the westside slopes, overlook the Great Rift Valley dropping over 1,000 m (3,281 ft) below, where Maasai villages have been developed. The peak of the Ngong Hills is at 2,460 m (8,071 ft) above sea level.During the years of British colonial rule, the area around the Ngong Hills was a major settler farming region, and many traditional colonial houses are still seen in the area. In the 1985 film Out of Africa, the four peaks of the Ngong Hills appear in the background of several scenes near Karen Blixen's house.  Local residents still reported seeing lions in the Hills during the 1990s. The solitary grave of Denys Finch Hatton, marked by an obelisk and garden, is located on the eastern slopes of the Ngong Hills, overlooking the Nairobi National Park.
There is a walking trail along the tops of the Ngong Hills. Kenya Forestry Service has a small post at the NE foot of the park. There is a KSH 600 fee for visitors. Local residents have sometimes held Sunday church services on the southern peak, overlooking the Great Rift Valley.
Near the hills is the town of Ngong. The Ngong Hills Wind Power Station is being built on the hills. This is the first wind farm in the country. 
Kenya Forestry Service offers guides/security to accompany hikers for an extra fee (KES 2000).
Bruce MacKenzie, Minister of Agriculture in Kenya, was killed when a time bomb attached to his plane exploded as it flew above Ngong Hills in a flight from Entebbe, Uganda on May 24, 1978, after Ugandan President Idi Amin ordered Ugandan agents to assassinate MacKenzie.",https://en.wikipedia.org/wiki/Ngong_Hills,346,4.5
Naboisho Conservancy,https://lh5.googleusercontent.com/p/AF1QipO9ZEviRw_BzSHzwU0Rx7PHaEHdGQ0jW0IZTnIT=w464-h260-n-k-no,Vast wildlife reserve with big cats,"To the east and north of the Maasai Mara National Reserve, some of the former Maasai cattle-grazing areas have been converted into wildlife conservancies for tourism.The conservancies include Enonkishu, Lemek, Mara Naboisho, Mara North, Nashulai, Olare Motorogi, Olarro North and Olarro South, Olchorro Oirowua, Ol Kinyei, Olderkesi, Oloisukut, Pardamat and Siana.The conservancies came about when Maasai land owners with neighbouring land came together to agree that safari camp operators could use their land for tourism purposes, in return for either a percentage of profits or leasing fee.While this varies between conservancies, in some instances the Maasai retain livestock grazing rights in . Due to this, it is fairly common to see cattle alongside wildlife in certain areas.",https://en.wikipedia.org/wiki/Maasai_Mara_Conservancies,303,4.6
Olare Orok Conservancy,https://t0.gstatic.com/images?q=tbn:ANd9GcR3WSMYaONLOngjVOCx2dVvs4kTEjehCGXbQZCjqmjN09_tqlfcZ7j0xdciTDrxj1WTBtrEb1O1F4o6S54g9Bjeog,Nature reserve with wildlife safaris,,https://en.wikipedia.org/wiki/Olare_Orok_Conservancy,131,4.6
Mount Suswa,https://t0.gstatic.com/images?q=tbn:ANd9GcSI-xvp1LQG90vpXzqGIYbAzDsFAwnhVPV5Eum0zIdbQo2Zn8T3iDaujkzHhiSN_XxHjiTbTG11PWZKnIqaN2toTg,"Mountain, volcano, maasai people, and camping","Mount Suswa is a shield volcano in the Great Rift Valley, Kenya. It is located between Narok and Nairobi, the capital of Kenya. The northwestern part of Mount Suswa is in Narok County, while the eastern and southern part are in Kajiado County. The town with the same name, Suswa, is just northwest of the mountain and it is the main access point for visits to the mountain.",https://en.wikipedia.org/wiki/Mount_Suswa,84,4.2
One Off Contemporary Art Gallery Ltd.,https://lh5.googleusercontent.com/p/AF1QipPs9ualRJTXqFq_G-M6myt_8tUW1nvS-6wT2TAn=w464-h260-n-k-no,Art and art museum,"The Art Gallery of New South Wales (AGNSW), founded as the New South Wales Academy of Art in 1872 and known as the National Art Gallery of New South Wales between 1883 and 1958, is located in The Domain in Sydney, New South Wales, Australia. It is the most important public gallery in Sydney and one of the largest in Australia.
The Gallery's first public exhibition opened in 1874. Admission is free to the general exhibition space, which displays Australian art (including Indigenous Australian art), European and Asian art. A dedicated Asian Gallery was opened in 2003.",https://en.wikipedia.org/wiki/Art_Gallery_of_New_South_Wales,146,4.5
Giraffe Centre,https://t0.gstatic.com/images?q=tbn:ANd9GcRy2HiRRKSgaWBbh_Em2WIsAxAl803gLoikZq7CfIOiA5sgmPAZUD6aWWy3LbyRC4FNq5Z0Abw7-F9qJDyi4-1MFA,Rescue center for giraffes & nature park,"The Giraffe Centre is located in Lang'ata, approximately 20 kilometres (12 mi) from the centre of Nairobi, Kenya. It was established in order to protect the endangered giraffe, that is found only in the grasslands of East Africa.
In 1979, the Giraffe Center, a nature sanctuary for visiting and including wildlife conservation education for urban school children, was started by Jock Leslie Melville, the Kenyan grandson of a Scottish Earl, when he and his wife Betty captured two baby giraffe to start a programme of breeding giraffe on their Langata property, site of the present Centre.  Since then the programme has had huge success, resulting in the introduction of several breeding pairs of Rothschild Giraffe into Kenyan national parks.
By 1983 enough money had been raised to establish the Giraffe Visitor's Center as a tourist destination just outside Nairobi.
The main attraction for both school children and visitors is feeding giraffes from a raised observation platform. The Giraffe Center is also home to several warthogs which freely roam the area along with the giraffes.",https://en.wikipedia.org/wiki/Giraffe_Centre,"8,062",4.6
Kenya Cultural Centre,https://lh5.googleusercontent.com/p/AF1QipNoGR7bfLwaIxFvdPfwQEBeiun8euaj_8FcOpD0=w464-h260-n-k-no,Theatre and performing arts,"Kenya National Theatre is part of the Kenya Cultural Centre, a Semi Autonomous Government Agency under the Ministry of State for National Heritage and Culture in Kenya. It is mandated to offer space for the rehearsal and staging of productions to both local and international repertoire.  It is  based in Nairobi along Harry Thuku Road and borders the University of Nairobi (UON), The Kenya Broadcasting Corporation (KBC) and The Fairmont Norfolk Hotel.
The history of the building has viewed its location as a hurdle for an earnest identification with the local artistic performances.  The cost of maintenance has meant higher booking fees for fledgling repertoires, eventually reserving itself for a corporate clientele. The Kenya National Theatre has also been a subject of scholarly criticism and a basis for formulating a cultural policy. 
In 2004, Kenya Cultural Centre Ltd contracted Millicon's Ltd to undertake a three phase renovation of the facility. In October 2007, Kenya National Theatre was handed over and renamed ""National Theatre"" with a notable interior design of the first floor's ""Wasanii Restaurant"" by Terry Tabor. 

",https://en.wikipedia.org/wiki/Kenya_National_Theatre,"1,225",4.5
Shaba National Reserve,https://lh5.googleusercontent.com/p/AF1QipM1GMfrMuYgk9qcYg8dJPOkK8El5QxOGTrNLp3U=w464-h260-n-k-no,Well-known nature preserve with wildlife,"Shaba National Reserve is a protected area in Isiolo County in northern Kenya to the east of the Samburu and Buffalo Springs national reserves. Together, the three reserves form a large protected area.The Shaba reserve has dramatic scenery including river-side forests, scattered woodlands and dry grasslands dominated by the Shaba Hill volcano. The plentiful wildlife relies on waterholes and marshes scattered throughout the reserve. Shaba is home to the endangered Grevy's zebra and the rare Williams's lark. Shaba was the setting for the book and film Born Free, for the film Out of Africa and for the reality show Survivor: Africa.
The reserve is a popular destination for tourists. There is some risk that excess numbers of visitors and growth of the local population around the reserve may place stress on the environment.",https://en.wikipedia.org/wiki/Shaba_National_Reserve,264,4.4
Banana Hill Art Gallery,https://lh5.googleusercontent.com/p/AF1QipOre8NLCOOFhmNx1VvrpQc2EqeeJnEvuHh3vknh=w464-h260-n-k-no,Art museum and art,"Banana Hill is a suburb of Karuri town, in the eastern part of Kiambu County, Central Province of Kenya. It is in the Africa/Nairobi time zone. Banana Hill's population constitutes 20 percent of the estimated 100,000 residents within the heart of Kiambaa Constituency.
The town situated 2,000 m above sea level, approximately 20 km north of Nairobi City via Limuru Road by Runda Estate. It is approachable from an alternate route, the Limuru, Kiambaa/Kiambu and Ndenderu/Redhill all-weather roads. Banana Hill comprises small estates named Banana town, Mombasa, Gacorui, Ndunyu, Miberethi Inana ('Eight Pipes'), and Thimbigwa.
Its location in the temperate Kenyan Highlands is thought to have been one of the major attractions for its former British colonizers. The area receives an average annual rainfall of 790 mm (31 in) with average temperatures ranging from 48–84 °F in January and 45–79 °F in July. Most mornings and evenings are chilly.",https://en.wikipedia.org/wiki/Banana_Hill,173,4.2
