title,image_url,about,summary,wikipedia_url,no_of_reviews,review
Maasai Heritage Museum,https://lh5.googleusercontent.com/p/AF1QipN00XirflZLEieyFkixUlRvc_yxhpsGMZQroPGn=w464-h260-n-k-no,Museum,"The Maasai () are a Nilotic ethnic group inhabiting northern, central and southern Kenya and northern Tanzania. They are among the best known local populations internationally due to their residence near the many game parks of the African Great Lakes, and their distinctive customs and dress. The Maasai speak the Maa language (ɔl Maa), a member of the Nilotic language family that is related to the Dinka, Kalenjin and Nuer languages. Except for some elders living in rural areas, most Maasai people speak the official languages of Kenya and Tanzania, Swahili and English. The Maasai population has been reported as numbering 1,189,522 in Kenya in the 2019 census, compared to 377,089 in the 1989 census.The Tanzanian and Kenyan governments have instituted programs to encourage the Maasai to abandon their traditional semi-nomadic lifestyle, but the people have continued their age-old customs. Many Maasai tribes throughout Tanzania and Kenya welcome visits to their villages to experience their culture, traditions, and lifestyle, in return for a fee.",https://en.wikipedia.org/wiki/Maasai_people,6,4.2
Narok Maa Museum,https://lh5.googleusercontent.com/p/AF1QipMluVZVQdTys9hjIUbqWZx7Vse22cCkvdY6bQ8x=w464-h260-n-k-no,Museum,"The Narok Museum is a museum located in Narok, Kenya. Its exhibits focus on Maasai cultural heritage, as well as other Maa-speaking cultures, including the Samburu, Njemps and Ndorobo peoples.",https://en.wikipedia.org/wiki/Narok_Museum,16,3.6
National Museums Of Kenya,https://lh5.googleusercontent.com/p/AF1QipMpL_i52z_QRy-m2fcfcPuYJlWIaBamhnScTSDx=w464-h260-n-k-no,Museum,"The National Museums of Kenya (NMK) is a state corporation that manages museums, sites and monuments in Kenya. It carries out heritage research, and has expertise in subjects ranging from palaeontology, ethnography and biodiversity research and conservation. Its headquarters and the National Museum (Nairobi National Museum) are located on Museum Hill, near Uhuru Highway between Central Business District and Westlands in Nairobi. The National Museum of Kenya was founded by the East Africa Natural History Society (E.A.N.H.S.) in 1910; the Society's main goal has always been to conduct an ongoing critical scientific examination of the natural attributes of the East African habitat. The museum houses collections, and temporary and permanent exhibits. Today the National Museum of Kenya manages over 22 regional museums, many sites, and monuments across the country.",https://en.wikipedia.org/wiki/National_Museums_of_Kenya,6,4.7
Ndoro Sculpture Garden,https://lh5.googleusercontent.com/p/AF1QipNweU2rBKVx6kFwCJs48utAFgoozU9kx5tvJplb=w464-h260-n-k-no,Art,,,7,4.9
Ivory Burning Site and Picnic Area,https://t1.gstatic.com/images?q=tbn:ANd9GcTEkyaaPiGAzZKkTz1YblQ5AENscohWCSULQtyOns2Onnfpu0qjTU4Un5YLaO_kcJYxyBF6RkAs4JzlyPMGyoHNBA,,"This is a list of people who disappeared mysteriously post-1970 and of people whose current whereabouts are unknown or whose deaths are not substantiated, except for people who disappeared at sea.
Since the 1970s, many individuals around the world have disappeared, whose whereabouts and condition have remained unknown. Many who disappear are eventually declared dead in absentia, but the circumstances and dates of their deaths remain a mystery. Some of these people were possibly subjected to forced disappearance, but in some cases information on their subsequent fates is insufficient.
The global statistical data on missing persons throughout the world from the late 20th and early 21st centuries are unreliable due to a number of factors, including international migration, travel capabilities, and legal protection for individuals who may have chosen to disappear intentionally. According to the International Commission on Missing Persons, ""There are few comprehensive and reliable statistics regarding the number of persons who go missing throughout the world as a result of trafficking, drug-related violence, and migration. Even the numbers of persons missing as a result of armed conflict and human-rights abuses, which are more intensively monitored, are difficult to verify, given the reluctance of most states to deal honestly and effectively with this issue.""By the mid-1990s in the United States of America, the number of missing persons cases had grown to nearly 1 million, though this number began to decline in the 2000s. As of 2014, an estimated average of 90,000 in the United States are missing at any given time, with about 60% being adults, and 40% being children; in 2017, the total number of missing person cases was around 650,000. Per a 2017 report, the U.S. states of Oregon, Arizona, and Alaska have the highest numbers of missing-person cases per 100,000 people. In Canada—with a population a little more than one tenth that of the United States—the number of missing-person cases is smaller, but the rate per capita is higher, with an estimated 71,000 reported in 2015. Of these missing Canadians, 88% are found within seven days, while roughly 500 individuals remain missing after a year. In the United Kingdom, it was estimated in 2009 that around 275,000 Britons go missing every year. In some countries, such as Japan, the prevalence of missing persons is not commensurate with the known data, as significant numbers of missing individuals go unreported to authorities.

",https://en.wikipedia.org/wiki/List_of_people_who_disappeared_mysteriously:_post-1970,116,4.6
Fort Jesus Parking,https://t0.gstatic.com/images?q=tbn:ANd9GcRNUQnyDdTUzgMk09JjJg-bRW0HstC-qOiRsu11VywbTT08D_euNAk29FzPW_WbWlF91AgyfWXZB3aU433V-vb0lg,,"Daman () (Portuguese: Damão) is the capital city of the Indian union territory of Dadra and Nagar Haveli and Daman and Diu. It is a municipal council situated in Daman district of the union territory.
Daman Ganga River divides Daman into two parts — Nani-Daman (nani meaning ""small"") and Moti-Daman (Moti meaning ""big""). Despite its name, Nani-Daman is the larger of the two parts, while the old city is mainly in Moti-Daman. This holds most of the important entities like the major hospitals, supermarkets and major residential areas. Vapi, Gujarat is the nearest city to Daman.","https://en.wikipedia.org/wiki/Daman,_India",22,4.5
Koobi Fora Museum,https://lh5.googleusercontent.com/p/AF1QipPq9Pv8ytivCxwZGI39XOTLPlTZcejWjwOOOVxe=w464-h260-n-k-no,Museum,"Koobi Fora  refers primarily to a region around Koobi Fora Ridge, located on the eastern shore of Lake Turkana in the territory of the nomadic Gabbra people. According to the National Museums of Kenya, the name comes from the Gabbra language:

In the language of the Gabbra people who live near the site, the term Koobi Fora means a place of the commiphora and the source of myrrh...
The ridge itself is an outcrop of mainly Pliocene/Pleistocene sediments. It is composed of claystones, siltstones, and sandstones that preserve numerous fossils of terrestrial mammals, including early hominin species. Presently, the ridge is being eroded into a badlands terrain by a series of ephemeral rivers that drain into the northeast portion of modern Lake Turkana. In 1968 Richard Leakey established the Koobi Fora Base Camp on a large sandspit projecting into the lake near the ridge, which he called the Koobi Fora Spit.
Consequently, the government of Kenya in 1973 reserved the region as Sibiloi National Park, establishing a headquarters for the National Museums of Kenya on Koobi Fora Spit. The reserve is well-maintained and is well-guarded by friendly but armed park police. Protection of sites and especially of wildlife are of prime concern. Exploration and excavation continue under the auspices of the Koobi Fora Research Project (KFRP), which collaborates with a number of interested universities and individuals across the world.Formerly the term Koobi Fora has been used to mean one or two initial sites, or the sand spit. Today it can mean any or all points in Sibiloi National Park. The term East Turkana also has come into use with the larger meaning.",https://en.wikipedia.org/wiki/Koobi_Fora,120,4.4
National Archives Moi Avenue,https://lh5.googleusercontent.com/p/AF1QipPF84jREFYdFwvod5zY6vsp6cdfVwfr62Oz2qbT=w464-h260-n-k-no,,"Kenya National Archives and Documentation Services (KNADS) is situated at the edge of the central business district in downtown Nairobi along Moi Avenue next to Ambassadeur Hotel. The archives look out on the landmark Hilton Hotel, while on the rear side is Tom Mboya street. It was established in 1965. It holds 40,000 volumes. It was established by an Act of the Parliament of Kenya in 1965 and was placed under the office of the Vice President and the Minister of Home Affairs. It is currently under the office of the Vice-President and State Department for National Heritage and Culture.
The Kenya National Archives building also houses the Murumbi Gallery which contains African artifacts that were collected in the 19th century.

",https://en.wikipedia.org/wiki/Kenya_National_Archives,70,4.2
Swahili Cultural Centre,https://lh5.googleusercontent.com/p/AF1QipOVM8KIr_j6gR_rKzd1ZHRwdS0eaCuq5RsYzxk3=w464-h260-n-k-no,Museum,"Swahili, also known by its native name Kiswahili, is a Bantu language and the native language of the Swahili people. It is a lingua franca of the African Great Lakes region and other parts of East and Southern Africa, including Tanzania, Uganda, Rwanda, Burundi, Kenya, some parts of Malawi, Somalia, Zambia, Mozambique, and the Democratic Republic of the Congo (DRC). Comorian, spoken in the Comoros Islands, is sometimes considered a dialect of Swahili, although other authorities consider it a distinct language. Sheng is a mixture of Swahili and English commonly spoken in Kenya and parts of Uganda. Swahili has been greatly influenced by Arabic; there are an enormous number of Arabic loanwords in the language, including the word swahili, from Arabic sawāḥilī (a plural adjectival form of an Arabic word meaning “of the coast”). The language dates from the contacts of Arabian traders with the inhabitants of the east coast of Africa over many centuries. Under Arab influence, Swahili originated as a lingua franca used by several closely related Bantu-speaking tribal groups.The exact number of Swahili speakers, be they native or second-language speakers, is unknown and is a matter of debate. Various estimates have been put forward, which vary widely, ranging from 50 million to 100 million. Swahili serves as a national language of the DRC, Kenya, Tanzania, and Uganda. Shikomor, an official language in Comoros and also spoken in Mayotte (Shimaore), is related to Swahili. Swahili is also one of the working languages of the African Union and of the Southern African Development Community. It is officially recognised as a lingua franca of the East African Community. In 2018, South Africa legalized the teaching of Swahili in South African schools as an optional subject to begin in 2020. Botswana followed in 2020, and Namibia plans to introduce the language as well.",https://en.wikipedia.org/wiki/Swahili_language,54,4.6
The Fort Of Shela,https://lh5.googleusercontent.com/p/AF1QipNRvkao7MqzcS6srF91aFlYDNA4eFqxAamoaX2C=w464-h260-n-k-no,,"Lamu Fort is a fortress in the town of Lamu in northeastern Kenya. Originally situated on the waterfront, the fort today is located in a central position in the town, about 70 metres (230 ft) from the main jetty on the shore.
Lamu Fort was built between 1813 and 1821 with Omani assistance. Initially it provided a base from which the Omanis consolidated their control of the East African coast but the town later lost its economic importance. During the British colonial period, and after the independence of Kenya, the fort was used as a prison. Today it houses an environmental museum and library, and is often used for community events.",https://en.wikipedia.org/wiki/Lamu_Fort,68,4.4
