title,image_url,about,summary,wikipedia_url,no_of_reviews,review
Hells Gate National Park,https://t1.gstatic.com/images?q=tbn:ANd9GcQdRWbOlzh-eN4Ln-FiVHyzOJzapSqapIVkaju-BhutbvpjT9Hqutw6Hig73WzZF6L2pexSPPmwQoQL9U7oiX0W9g,Savannah ecosystem with rock climbing,"Hell's Gate National Park lies south of Lake Naivasha in Kenya, north west of Nairobi. Hell's Gate National Park is named after a narrow break in the cliffs, once a tributary of a prehistoric lake that fed early humans in the Rift Valley. It was established in 1984. A small national park, it is known for its wide variety of wildlife and for its scenery. This includes the Fischer's Tower and Central Tower columns and Hell's Gate Gorge. The national park is also home to three geothermal power stations at Olkaria. The park is equipped with three basic campsites and includes a Maasai Cultural Center, providing education about the Maasai tribe's culture and traditions.

",https://en.wikipedia.org/wiki/Hell%27s_Gate_National_Park,"2,712",4.5
Mount Elgon National Park,https://t1.gstatic.com/images?q=tbn:ANd9GcQsarNB65h-W7qU5GsvsSZDyOG-MiH0NESzU0mvZoZnUePEP-VKQ30lsEiNgVykgJba7FU80wBh8Gy8slyWMZVLaA,National park around an extinct volcano,"Mount Elgon National Park is a national park 140 kilometres (87 mi) northeast of Lake Victoria. The park covers an area of 1,279 square kilometres (494 sq mi) and is bisected by the border of Kenya and Uganda. The Ugandan part of the park covers 1,110 km2 (430 sq mi) while the Kenyan part covers 169 km2 (65 sq mi). The Kenyan part of the park was gazetted in 1968, the Ugandan part in 1992.

",https://en.wikipedia.org/wiki/Mount_Elgon_National_Park,"1,561",4.2
Lake Nakuru National Park,https://t1.gstatic.com/images?q=tbn:ANd9GcQ3nIewKGVo-Ap1mamjIkPg88BQ_HSPyhyxpZYhR7c4GAbX9j0OTQCCb6sCEtC32HW3IX2MlNDrrZNEd6IMS8v89g,National park with soda lake & wildlife,"Lake Nakuru is one of the Rift Valley soda lakes at an elevation of 1,754 m (5,755 ft) above sea level. It lies to the south of Nakuru, in the rift valley of Kenya and is protected by  Lake Nakuru National Park.
The lake's abundance of algae used to attract a vast quantity of flamingos that famously lined the shore. Other birds also flourish in the area, as do warthogs, baboons and other large mammals. Eastern black rhinos and southern white rhinos have also been introduced.
The lake's level dropped dramatically in the early 1990s but has since largely recovered. In 2013, the lake received an alarming increase in the water levels that led to the migration of flamingos to Lake Bogoria in search for food supply.Nakuru means ""Dust or Dusty Place"" in the Maasai language. Lake Nakuru National Park, close to Nakuru town, was established in 1961. It started off small, only encompassing the famous lake and the surrounding mountainous vicinity, but has since been extended to include a large part of the savannahs.
Lake Nakuru is protected under the Ramsar Convention on wetlands.",https://en.wikipedia.org/wiki/Lake_Nakuru,"3,853",4.4
Meru National Park,https://lh5.googleusercontent.com/p/AF1QipN2aQXVw-1cx_Qi8KTiVFQv2nk65hg24Ty_iiuw=w464-h260-n-k-no,Camping & wildlife at a scenic reserve,"Meru National Park is a Kenyan national park located east of Meru, 350 km (220 mi) from Nairobi. Covering an area of 870 km2 (340 sq mi), it is one best known national parks in Kenya. Rainfall in this area is abundant with 635–762 mm (25.0–30.0 in) in the west of the park and 305–356 mm (12.0–14.0 in) in the east. The rainfall results in tall grass and lush swamps.
The park has a wide range of wild animals including the African bush elephant, lion, African leopard, cheetah, eastern black rhinoceros, southern white rhinoceros, Grévy's zebra, hippopotamus.
Meru was one of the two areas in which conservationists George Adamson and Joy Adamson raised Elsa the Lioness made famous in the best selling book and award-winning movie Born Free. Elsa the Lioness is buried in this park and part of Joy's ashes were scattered on her gravesite.",https://en.wikipedia.org/wiki/Meru_National_Park,390,4.2
Diani Beach,https://t3.gstatic.com/images?q=tbn:ANd9GcQrCxEt66eoUidLquf9C0spMqpLJEh7FXL2pYOniNnGFb-5HDZGDjVmO92P5l-8vYIVyj2R13ZSFbo-sQawRuGBrQ,White-sand beach in a tropical locale,"Diani Beach is a major beach on the Indian Ocean coast of Kenya (in eastern Africa). It is located 30 kilometres (19 mi) south of Mombasa, in Kwale County.
It has been voted Africa's leading beach destination for the fifth time running since 2015.",https://en.wikipedia.org/wiki/Diani_Beach,638,4.6
Mount Kenya National Park,https://t1.gstatic.com/images?q=tbn:ANd9GcRIi9SeVleR5Dt7fTsU9fLn5IlGrVpyMo40KPEsK5rzp9Hw9zTta4frouc4WzbX0cIQlkNu20_8eof9k00krLHb8g,"Major mountain, elephants & campsites","Mount Kenya National Park was established in 1949 to protect Mount Kenya, the wildlife and surrounding environment, which forms a habitat for wild animals, as well as acting as an area for the catchment of water, to supply Kenya's water.

",https://en.wikipedia.org/wiki/Mount_Kenya_National_Park,"4,462",4.3
Mount Elgon,https://t0.gstatic.com/images?q=tbn:ANd9GcRQpwrqkFnZSmt8ODQR6XcyFWq8azJEXtN55aObJ7-TY5NmBbTG-uZOVpBxF0HlagVI3L4yFF0JV0Fvs6suRHoDtg,Volcanic peak with hiking & biking,"Mount Elgon is an extinct shield volcano on the border of Uganda and Kenya, north of Kisumu and west of Kitale. The mountain's highest point, named ""Wagagai"", is located entirely within Uganda. Although there is no verifiable evidence of its earliest volcanic activity, geologists estimate that Mount Elgon is at least 24 million years old, making it the oldest extinct volcano in East Africa.",https://en.wikipedia.org/wiki/Mount_Elgon,54,4.5
Lake Elmenteita,https://t3.gstatic.com/images?q=tbn:ANd9GcTXVIydrJ6wu8szc-HMwKnwrJtNFl5tDpVlMvP1BvjvNC6KoDQF6iNWUdzwuCMk6FySg-LKJKYFqtzp4kiS2lMhSA,"Large lake with wildlife, trails & views","Lake Elmenteita' is a soda lake, in the Great Rift Valley, about 120 km northwest of Nairobi, Kenya.",https://en.wikipedia.org/wiki/Lake_Elmenteita,76,4.4
Ol Pejeta Conservancy,https://t3.gstatic.com/images?q=tbn:ANd9GcTJU6vkLRbZc51OLm5lhM6QRe-52zSv-zEWIve5A98T5aAy2tBTmIqH8ROos3kvIR5uysbTzYspVr-aQHVbdZneiw,Animal preserve with game drives,"The Ol Pejeta Conservancy is a 360 km2 (140 sq mi) not-for-profit wildlife conservancy in Central Kenya's Laikipia County. Situated on the equator west of Nanyuki, between the foothills of the Aberdares and Mount Kenya. The Ol Pejeta Conservancy works to conserve wildlife, provide a sanctuary for great apes and to generate income through wildlife tourism and complementary enterprises for re-investment in conservation and community development.
The Conservancy boasts the largest black rhino sanctuary in East Africa, and in 2013 reached a population milestone of 100 black rhino. It also houses the two remaining northern white rhino in the world, who were moved there from Dvůr Králové Zoo in the Czech Republic. The Sweetwaters Chimpanzee Sanctuary is situated here, and provides a haven for orphaned, abandoned and rescued chimpanzees. It is the only place in Kenya where these great apes can be seen. The Conservancy is host to the ""Big five game"" among a large selection of other African animals, which makes it a popular safari destination. It also operates a successful livestock program, which serves to benefit local pastoralists and wildlife. Through the conservancy's community development programme, Ol Pejeta provides funding to surrounding communities to aid health, education, water and infrastructure projects. They also support the provision of agriculture and livestock extension services and the development of community-based conservation tourism ventures.

",https://en.wikipedia.org/wiki/Ol_Pejeta_Conservancy,"1,099",4.6
Shimba Hills National Reserve,https://lh5.googleusercontent.com/p/AF1QipMmKUvgdKvnzqUaeGivGa8Apz4RIJ4lbXrXjvTi=w464-h260-n-k-no,Protected area harboring rare wildlife,"The Shimba Hills National Reserve is a small National Reserve in the Coast Province of Kenya, 33 km from Mombasa and 15 km from the coast. The reserve is an area of coastal rainforest, woodland and grassland. It is an important area for plant biodiversity – over 50% of the 159 rare plants in Kenya are found in the Shimba Hills, including some endangered species of cycad and orchids. It is also a nationally important site for birds and butterflies.
There are estimated to be approximately 700 elephants in the reserve. This population is unsustainably high – it causes significant damage to vegetation, threatening the endangered plant life. Conflict between humans and elephants has also reached critical levels. North of the Reserve, the Mwaluganje elephant sanctuary has been established to provide a route for elephants to leave the park. The remainder of the park boundary is fenced to prevent the elephants from invading farmland. The Kenya Wildlife Service has plans to relocate up to 400 elephants from Shimba to Tsavo East National Park in 2005.
Shimba Hills contains Kenya's only population of Sable Antelope. There are about 100 in the park.",https://en.wikipedia.org/wiki/Shimba_Hills_National_Reserve,665,4.2
Mkomazi National Park,https://lh5.googleusercontent.com/p/AF1QipNZ9LQI6dWeHCqCDZU53jwriw1b0O4QeLmuLzwF=w464-h260-n-k-no,Lush game reserve with a rhino sanctuary,"Mkomazi National Park is located in northeastern Tanzania on the Kenyan border, in Kilimanjaro Region and Tanga Region. It was established as a game reserve in 1951 and upgraded to a national park in 2006.The park covers over 3,234 square kilometres (323,400 ha), and is dominated by Acacia-Commiphora vegetation; it is contiguous with Kenya's Tsavo West National Park. The area commonly called 'Mkomazi' is actually the union of two previous game reserves, the Umba Game Reserve in the east (in Lushoto District, Tanga Region) and the Mkomazi Game Reserve in the west (in Same District, Kilimanjaro Region); in government documents they are sometimes called the Mkomazi-Umba Game Reserves. Of the two, Mkomazi is larger, and has more diversity of relief and habitat, and a longer shared border with Tsavo West National Park. In the rest of this entry, 'Mkomazi' will refer to both the Mkomazi and Umba reserves together.",https://en.wikipedia.org/wiki/Mkomazi_National_Park,119,4.3
Chalbi Desert,https://t3.gstatic.com/images?q=tbn:ANd9GcQfc8wwKgMR1gDmtBTx_V_5ywfnSIXfDYPpDK9grO2_Upiz_37-8mmPoZI2dJIa3Yv7Ym0v2UP96MdTOa6tQBkoIw,Arid expanse with wildlife & safaris,"The Chalbi Desert is a small desert in northern Kenya near the border with Ethiopia. It is east of Lake Turkana and contains North Horr. Marsabit is the closest major urban center.
Chalbi desert is composed of saline and alkaline sediments and stabilised sand dunes; a resulting formation of the old bed of Lake Chalbi.
During the Pleistocene (1.8mya to 10,000 years BP) this lake drained the volcanoes of marsabit. It has since dried up to form the extensive Chalbi desert.",https://en.wikipedia.org/wiki/Chalbi_Desert,9,4.6
Lake Chala,https://t1.gstatic.com/images?q=tbn:ANd9GcSKphZbArtv6HCUmpioBz3yNurxOZwxmDPNtip4GWN_1j5Tb8_Jg1nsz74S6edgYO1kcsLGXaoZPPKtD4cMqTT_1A,Scenic crater lake for canoes & hiking,"Lake Chala, also known as  Lake Challa, is a crater lake that straddles the border between Kenya and Tanzania. The lake formed approximately 250,000 years ago. The lake is east of Mount Kilimanjaro, 8 kilometres (5.0 mi) north of Taveta, Kenya, and 55 kilometres (34 mi) east of Rombo District. The lake is surrounded by a steep crater rim with a maximum height of 170 metres (560 ft).Lake Chala's average annual rainfall is about 565 millimetres (22.2 in). The lake surface has an average annual evaporation of near 1,735 millimetres (68.3 in). Approximately 80 percent of the lake's inflow comes from groundwater, which is derived mostly from rainfall in the montane forest zone of Mount Kilimanjaro at an elevation of 1,800 to 2,800 metres (5,900 to 9,200 ft). It takes about 3 months for groundwater to reach the lake. The groundwater flowed into the lake at an estimated annual volume of 8,390,000 cubic metres (296,000,000 cu ft) from 1964 through 1977.",https://en.wikipedia.org/wiki/Lake_Chala,85,4.5
Lewa Wildlife Conservancy,https://t2.gstatic.com/images?q=tbn:ANd9GcSMow8lXKtNzABCkUcO9_NaVWy6iftgN6v6CIfdSpgKnAI4e36H_nEPR18jsNwWjiR8fUrBuGLUPCtF41GgAqDktg,Conservation area with protected species,"The Lewa Wildlife Conservancy (also known as Lewa Downs) is located in northern Kenya. It was formed in 1995. It is a wildlife sanctuary incorporating the Ngare Ndare Forest and covering over 62,000 acres (250 km2). The Conservancy is home to a wide variety of wildlife including the rare and endangered black rhinos, Grevy's zebras and sitatungas. It also includes the big five (lion, leopards, elephants, rhinos and Cape buffaloes). Lewa holds over 12% of Kenya's eastern black rhinoceros population and the largest single population of Grevy's zebras in the world (approximately 350 individuals).
The Conservancy is also home to the Northern Rangelands Trust, an innovative partnership with a number of communities to the north who have given land for the preservation of wildlife. Lewa has its own education program that helps develop schools and students. Lewa Wildlife Conservancy is located in Meru County, south of Isiolo town but north of Mount Kenya.",https://en.wikipedia.org/wiki/Lewa_Wildlife_Conservancy,766,4.5
Haller Park,https://t0.gstatic.com/images?q=tbn:ANd9GcS928YoTrW846u1rVSMYnL16UZVxw1WqorZGrFszqnrGVNmA5OSu_WGeW--KvdjcpvAWvKtz4Eqn6QuCHRJle9RDg,Coastal nature park with various animals,"Haller Park is a nature park in Bamburi, Mombasa, on the Kenyan coast. It is the transformation of a quarry wasteland into an ecological area. Haller Park holds a variety of plant and animal species which serve as a recreation spot for tourists and locals. Up to March 2007 it held the attraction of Owen and Mzee – the friendship of a hippopotamus and a tortoise.

",https://en.wikipedia.org/wiki/Haller_Park,"3,833",4.3
Mount Longonot,https://t0.gstatic.com/images?q=tbn:ANd9GcS6RYjR-unKx-WJOrdyZispJNsIOoqxRZJ8bkfJL8S33HTb0ItP95JPXQpneszs3M6lF7Rv9Cu-AmtRlzcAoOZdPQ,Inactive volcano with a summit hike,"Mount Longonot is a stratovolcano located southeast of Lake Naivasha in the Great Rift Valley of Kenya, Africa. It is thought to have last erupted in the 1860s. Its name is derived from the Maasai word Oloonong'ot, meaning ""mountains of many spurs"" or ""steep ridges"".
Mount Longonot is protected by Kenya Wildlife Service as part of Mount Longonot National Park. A 3.1 km trail runs from the park entrance up to the crater rim, and continues in a 7.2 km loop encircling the crater. The whole tour (gate-around the rim-gate) of 13.5 km takes about 4–5 hours allowing for necessary rest breaks - parts of the trail are heavily eroded and very steep. The gate elevation is around 2150 m and the peak at 2780 m  but following the jagged rim involves substantially more than the 630 m vertical difference.",https://en.wikipedia.org/wiki/Mount_Longonot,231,4.5
Taita Hills,https://t3.gstatic.com/images?q=tbn:ANd9GcRcHvcR-7-0BvK8aOmbXrUEikCNH8trgUHI4CE5qrt9hkm_DmZVboVAeT3M3ZtIji7N-eXDq_HNctlzhQ,Mountain range with a wildlife sanctuary,"The Taita Hills, sometimes also spelled as Teita Hills, are a mountain range located in the Taita-Taveta County in south-eastern Kenya. The hills consist of three massifs: Dawida, Sagalla in the southern side of Voi township and Kasigau in the south near the border of Tanzania. The Dawida massif is the largest and tallest of the three, with an altitude of 2,228 metres (7,310 ft) above sea level at its highest peak, Vuria. Dabida has three other main peaks: Iyale, Wesu, and Susu.",https://en.wikipedia.org/wiki/Taita_Hills,27,4.5
Kisite-Mpunguti Marine National Park,https://lh5.googleusercontent.com/p/AF1QipNEfLybdc3uVtc-TJ60hZjb6tyd0pAknOgfpZR0=w464-h260-n-k-no,Marine park with wildlife-rich reefs,"Kisite-Mpunguti Marine National Park is situated on the southern coast of Kenya near Shimoni and south of Wasini Island in Kwale District near the Tanzanian border. Kisite park covers 11 square kilometres while Mpunguti reserve covers 28 square kilometres.The park covers an area with four small islands surrounded by coral reef.
Marine life is in abundance, including trigger fish, moray eels, angelfish, butterfly fish, groupers, parrotfish, wrasses, scorpionfish, pufferfish, damselfish, rays, snappers, green sea turtles,  hawksbill turtles, and dolphins. Humpback whales and whale sharks are seasonal.",https://en.wikipedia.org/wiki/Kisite-Mpunguti_Marine_National_Park,508,4.6
Sibiloi National Park,https://lh5.googleusercontent.com/p/AF1QipMR1z4sjL-tSW21s6TfZdLAnylB0IYB70icR9fs=w464-h260-n-k-no,Protected wildlife & paleontology park,"Sibiloi National Park lies on the northeastern shore of Lake Turkana in northern Kenya. Established in 1973 by the government of Kenya for the protection of wildlife and paleontologist sites there, it covers 1,570 km2 (610 sq mi) and is internationally known for its fossils. It was listed as a UNESCO World Heritage Site in 1997 as a part of Lake Turkana National Parks.  
Sibiloi National Park is located on the wild and rugged shores of Lake Turkana – the cradle of mankind - Sibiloi is home to important archaeological sites including Koobi Fora where the fossil remains have contributed more to the understanding of human evolution than any other site in the continent. The area is characterized by semi-desert habitat and open plains flanked by volcanic formations including Mount Sibiloi, where the remains of a petrified forest can be seen.",https://en.wikipedia.org/wiki/Sibiloi_National_Park,625,4.4
Malindi marine boat excursions,https://t1.gstatic.com/images?q=tbn:ANd9GcQPwTsuaypxOVQoZCE4pJw1nmVwvVyO2HlT0HJMCrTSrjOqSMJqwPuLSoQQlV9dW02UOXSMbrFrFpKQ9IEEFl2-6w,Marine preserve with coral reefs & boats,,,9,4.3
Ewaso Ngiro,https://t3.gstatic.com/images?q=tbn:ANd9GcTycqpJ5z9kn9Qs6oEFD5S9oQaKzdVthS1JRStwR05k-3KGbIatnHGjEUQDuK34zl2NY4Ph5MY0RjuC2vHLUjU_Ow,"River, elephant, game reserve, safari, and giraffe","Ewaso Ng'iro is a river in Kenya which rises on the west side of Mount Kenya and flows north then east and finally south-east, passing through Somalia where it joins the Jubba River.
The upper basin of the Ewaso Ng'iro River is 15,200-square-kilometre (5,900 sq mi). The river has a continuous water supply due to the glaciers on Mount Kenya. Ewaso Ng'iro feeds into Lake Ol Bolossat, the only lake in Nyandarua county and the larger Central Kenya. Ewaso Ng'iro crosses seven arid to semi-arid landscapes.  It is characterized by vastly different physiographic features and species and has become a fundamental component to the survival of the wildlife, as well as the expansion of human population and socio-economic developments. Water, the limited land resource provided by the Ewaso Ng’iro watershed is unevenly distributed throughout the higher and lower regions of the catchment due to the large percentage necessary to maintain agricultural practices and climatic changes (Mutiga, Su, and Woldai 3).

The river's name is derived from the local community's language. It means the river of brown or muddy water. It is also called by some the ""Ewaso Nyiro.""
In the arid north of Kenya, water means life. The waters of this great river draw wildlife in great numbers to its banks, creating an oasis of green. Samburu, Shaba and Buffalo Springs National Reserves in Northern Kenya teem with wildlife in an otherwise arid land, because of the water of the river.
Below Sericho, the river expands into the Lorian Swamp, a large area of wetlands. The ecological diversity throughout the catchment is unique to the Ewaso Ng’iro watershed specifically, as it originates from the high agriculturally potent lands of Mount Kenya, right at Thome Area of Nanyuki-Laikipia County, that means the exact start point of this river is at the Thome village where it is formed out of convergence of Naromoru River, sourcing water from Mt. Kenya and Ngarinyiru River sourcing water from Aberdares and it flows over the following seven arid to semi arid land districts Meru, Laikipia, Samburu, Isiolo, Wajir, Marsabit, and Garissa (Said et al. 14). Following the independence of Kenya, the stretches of land covered by the Ewaso Ng’iro watershed shifted ownership from the  colonial farmers to small scale farmers (Thenya et al. 2). The catchment became a main resource for the small scale farmers to support their agropastorial practices and developing livelihoods (Thenya et al. 2).
Ewaso Narok river is one of its tributaries. Thomson's Falls near Nyahururu town are located along Ewaso Narok.",https://en.wikipedia.org/wiki/Ewaso_Ng%27iro,264,4.4
